subject_id,data.no,data.yes
72333693,21.0,0.0
72333694,19.0,3.0
72333695,16.0,5.0
72333696,21.0,0.0
72333697,18.0,3.0
72333698,22.0,0.0
72333699,16.0,6.0
72333700,22.0,0.0
72333701,17.0,4.0
72333702,19.0,2.0
72333703,20.0,1.0
72333704,18.0,3.0
72333705,21.0,0.0
72333706,14.0,8.0
72333707,17.0,4.0
72333708,16.0,5.0
72333709,21.0,0.0
72333710,22.0,0.0
72333711,20.0,1.0
72333712,19.0,2.0
72333713,21.0,0.0
72333714,20.0,1.0
72333715,12.0,8.0
72333716,12.0,10.0
72333717,20.0,1.0
72333718,22.0,0.0
72333719,21.0,1.0
72333720,3.0,19.0
72333721,21.0,1.0
72333722,20.0,1.0
72333723,17.0,4.0
72333724,21.0,0.0
72333725,20.0,1.0
72333726,21.0,0.0
72333727,21.0,1.0
72333728,21.0,0.0
72333729,19.0,2.0
72333730,16.0,6.0
72333731,22.0,0.0
72333732,22.0,0.0
72333733,21.0,0.0
72333734,22.0,0.0
72333735,22.0,0.0
72333736,19.0,2.0
72333737,21.0,1.0
72333738,21.0,0.0
72333739,21.0,0.0
72333740,22.0,0.0
72333741,20.0,1.0
72333742,20.0,1.0
72333743,23.0,0.0
72333744,20.0,1.0
72333745,2.0,21.0
72333746,22.0,0.0
72333747,22.0,0.0
72333748,21.0,0.0
72333749,20.0,1.0
72333750,19.0,2.0
72333751,22.0,0.0
72333752,22.0,0.0
72333753,21.0,0.0
72333754,17.0,4.0
72333755,20.0,1.0
72333756,20.0,1.0
72333757,18.0,3.0
72333758,1.0,20.0
72333759,21.0,1.0
72333760,20.0,1.0
72333761,21.0,1.0
72333762,22.0,0.0
72333763,20.0,1.0
72333764,21.0,0.0
72333765,17.0,4.0
72333766,3.0,20.0
72333767,21.0,1.0
72333768,22.0,0.0
72333769,21.0,1.0
72333770,22.0,1.0
72333771,20.0,1.0
72333772,21.0,0.0
72333773,20.0,1.0
72333774,21.0,0.0
72333775,22.0,0.0
72333776,20.0,1.0
72333777,22.0,0.0
72333778,20.0,1.0
72333779,20.0,2.0
72333780,21.0,0.0
72333781,20.0,2.0
72333782,21.0,0.0
72333783,21.0,0.0
72333784,22.0,0.0
72333785,21.0,1.0
72333786,21.0,0.0
72333787,21.0,1.0
72333788,20.0,1.0
72333789,22.0,0.0
72333790,20.0,1.0
72333791,21.0,0.0
72333792,20.0,2.0
72333793,21.0,0.0
72333794,21.0,0.0
72333795,21.0,0.0
72333796,13.0,9.0
72333797,19.0,2.0
72333798,21.0,0.0
72333799,21.0,1.0
72333800,21.0,1.0
72333801,19.0,3.0
72333802,22.0,0.0
72333803,21.0,1.0
72333804,22.0,0.0
72333805,19.0,1.0
72333806,19.0,2.0
72333807,11.0,10.0
72333808,12.0,9.0
