,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment,median_count,mean_count,mode_count,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points
518,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_163.jpg,47969291,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
519,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_169.jpg,47969294,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
520,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_170.jpg,47969297,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
521,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_171.jpg,47969298,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
522,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_172.jpg,47969301,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
523,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_173.jpg,47969305,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
524,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_174.jpg,47969308,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
525,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_175.jpg,47969311,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
526,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_176.jpg,47969315,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
527,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_177.jpg,47969317,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
528,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_193.jpg,47969321,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
